Mensahe di Pasco di Gobernador di Aruba 2019	Governor’s Christmas speech 2019
Unabes cu ta ariba e rotonde, 40 kmph ta e velocidad maximo cu ta permiti	40 kmph is the maximum allowed speed on the roundabouts
DOW y KPA ta urgi esnan cu ta uzando Watty Vos Boulevard pa mantene nan mes na e leynan di trafico pa tur hende por yega nan destinacion sigur 	DOW and KPA urge drivers of Watty Vos Boulevard to abide the traffic laws at all times so everybody can reach their destination safely
Indice di Prijs di Consumo pa luna di september 2019	Consumer Price Index for the month of September 2019
Oficina Central di Estadistica a publica e Indice di Prijs di Consumo pa luna di september 2019	The Central Bureau of Statistics published its Consumer Price Index for the month of September 2019
Den nan relato adhunto por haya informacion detaya tocante Indice di Prijs di Consumo pa september 2019	In the attached press release you will find more detailed information over the Consumer Price Index for September 2019
Opcion pa studiante di Aruba studia na Fisk University y Meharry Medical College na Merca	Local students can apply for Fisk University and Meharry Medical College in the USA
Receintemente, e respresentantenan di Fisk University y di Meharry Medical College a haci un bishita di cortesia cerca Minister di Enseñansa dr. Armando Rudy Lampe	Recently a delegation from Fisk University and Meharry Medical College met with the Minister of Education dr. Armando Rudy Lampe
E representantenan a elabora riba tur loke e universidadnan aki tin di ofrece na estudiantenan di Aruba cu lo desea di bay studia na Merca	During their visit they presented the opportunities these institutions offer to local students that want to pursue an education in the USA
Fisk University ta un ‘undergraduate liberal arts university’ y Meharry Medical College ta un ‘graduate college’ y tur dos ta ubica na Nashville, Tennessee	Fisk University is an ‘undergraduate liberal arts university’ and Meharry Medical College is a ‘graduate college’ both located in Nashville, Tennessee
Meharry Medical College adicionalmente ta interesa pa traha conhuntamente cu Xavier University pa por introduci un facultad di odontologia aki na Aruba	Meharry Medical College is interested in a partnership with Xavier University with the objective to open a odontology faculty in Aruba
E gastonan pa por atende e Universidad aki ta alrededor di $32.000 cual ta un suma basta halto pero ta existi e posibilidad cu e studiantenan di Aruba por bin na remarca pa ‘merit-scholarships’ cual suma ta varia pero por alcansa e suma di mas halto cu ta $15.000	Tuition for either one of these Universities is about $32.000, a rather expensive price tag, however local students can qualify for the ‘merit-scholarships’ a scholarship that can reach up to $15.000
Si e studiante logra haya e beca aki e gastonan pa atende e Universidad aki lo baha considerablemente haciendo e aanvulling di e Arubalening pa paga e suma completo posibel	Should the student be approved for this scholarship, the tuition fees will be considerably lower, making the supplemental Aruba loan enough to cover the remaining balance
E unico criteria ta cu e studiante lo mester mantene un GPA minimo pa por mantene e beca aki	The only criteria for local students to qualify is to have a steady minimum GPA in order to keep the scholarship
Otro posibilidad cu e studiantenan tin pa por cubri e gastonan aki ta pa aplica pa ‘work-study permit’ na unda nan tin e posibilidad di traha y studia y asina gana un suma pa alivia e gasto halto pa atende e Universidad	Another option for students to be able to pay the entire tuition is by applying for the work-study permit allowing students to work and study at the same time, so the students are able to pay the tuition fees of the universities
Polis cu cambio den peticion pa permiso pa evento social , deportivo y educativo	The Police department announces new requirements for permit requests for social, sports and education events
Cuerpo Policial ta informa tocante cambio den petición pa permiso pa evento social	New regulations have been recently announced by the police department regarding requests for event permits
Manera ta conoci, tur persona of organisadonan di eventonan social, deportivo of educativo, cu ta mara na un permiso, mester tene cuenta cu mester haci e peticion na tempo	As a standard procedure, every person or organization that wants to organize a social, sports or education event that requires a permit, need to request this in advance
Tambe tene na cuenta si un persona of organisacion haci un peticion pa un evento y resulta cu e tin un permiso bieu cu no a ser busca ni paga, lo tin cu paga pa esun bieu prome cu haya esun nobo	It is important to note that those who have an old permit that has not been picked up or paid for, should be paid in full before getting the new permit
Lo no procesa peticion cu a entrega menos cu 12 dia di trabou 	Permits requested after the 12 business day time frame will not be processed
Polis ta pidi tur hende concerni pa tene bon cuenta di e cambio menciona	The Police Department urges everyone to keep this change in mind
Cuerpo Policial ta subraya cu mester obedece tur ordo di Polis relaciona cu orden publico y Polis ta autorisa pa para e evento na momento cu orden publico ta rekeri esaki of na momento cu constata cu a viola cualkier di e condicionnan aki	The Police Department emphasize that all police orders should be followed related to public order and that the police are authorized to stop ongoing events should the terms are violated
Pa un mucha por crece sano, e mester sinta menos y hunga mas	Live healthily! Play more, sit less!
Departamento di Salud Publico ta continua cu su campaña di conscientisacion tocante e importancia di hungamento pa e desaroyo sano di un mucha, segun e instruccionnan nobo publica door di ‘World Health Organization’	The Department of Public Health is pushing forward with their awareness campaign as recommended by the World Health Organization on the importance for children to play more for their healthy development
Pa un mucha por crece y desaroya sano ta necesario e mucha cu tin menos di 5 aña pasa menos tempo posibel inactivo y mas tempo ta hunga	For the healthy growth and development, children under the age of 5 years should spend more time actively playing and fewer hours of inactivity
Tambe ta hopi importante pa un mucha drumi bon 8 ora of mas	Children should have a minimum of 8 hours of sleeping time
Mucha di 3 pa 4 aña mester	Children from 3 to 4 years should
Pasa minimo 180 minuut pa dia haciendo un variedad di actividadnan fisico, di cual minimo 60 minuut mester ta un actividad cu ta rekeri tiki pa hopi movecion y cu ta haci esaki durante henter e dia	Spend at least 180 minutes of multiple physical activities including 60 minutes of moderate activity during which can be done throughout the day
Mas actividad ta miho	More activity is always better
Evita di laga un mucha keda sinta mas cu 1 ora mes un caminda (den un stroller, highchair, carseat y Screen-time) 	Sitting for a prolonged time of more than 1 hour (stroller, highchair, car seat and screen time) is not recommended
Ta sumamente importante pa mucha di 3 pa 4 aña drumi bon pa 10 pa 13 ora, incluyendo siesta	It is although important for 3 to 4 years old children to sleep about 10 to 13 hours, including naps
“Loke realmente nos mester haci ta trece bek hungamento pa e muchanan”, dr. Juana Willumsen coordinador di e seccion di obesidad infantil y actividad fisico di WHO, ta bisa	“What we really need to do is bring back play for children”. says Dr. Juana Willumsen, section coordinator for infant obesity and physical activity at the WHO
Door di aplica e recomendacionnan aki di WHO, durante e prome 5 añanan di bida di un mucha lo contribui na e desaroyo motorico, cognitivo y salud di e muchanan pa bida largo	Applying these WHO recommendations during the children's first 5 years will contribute to the adequate development of their motor skills, cognitive development, and overall health
Departamento di Finansa cera diaranson dia 30 di october 2019	Department of Finance closed on Wednesday, October 30, 2019
Depatamento di Finansa ta informa pueblo cu nan lo ta cera mañan dia 30 di october pa publico	The Department of Finance hereby announces that its office will be closed to the public due to staff meetings on Wednesday, October 30, 2019
Masterclass omgevingsrecht	Masterclass environmental law
Riba e dianan 21, 22 y 23 di october 2019 Academie voor Wetgeving bou encargo di Raad van Advies a organisa e Masterclass “Omgevingsrecht”	On October 21, 22 and 23 the Academy for Legislation organized the Masterclass Environmental Law commissioned by the Advisory Council
Durante e Masterclass a trata varios punto di legislacion medioambiental, cual ta aplicabel actualmente	In this Masterclass, various aspects of environmental law were discussed, which legislation is currently applicable
No solamente a trata e legislacion actual di Aruba riba e tereno aki, pero tambe e legislacion cu ta na vigor na Hulanda y e islanan BES	taking into account not only the Aruban legislation but also the legislation in force in the Netherlands and the BES islands
